resident_id,activity_id,date,attended,rating
R015,A008,2024-10-30,True,4
R015,A014,2025-04-12,False,
R015,A009,2024-12-10,True,4
R015,A019,2025-07-19,False,
R015,A004,2025-02-04,True,4
R015,A032,2025-04-30,True,4
R015,A033,2024-10-05,False,
R015,A024,2025-01-14,False,
R015,A017,2025-07-15,False,
R015,A026,2025-02-05,True,3
R015,A025,2025-03-28,True,4
R016,A027,2025-01-01,True,3
R016,A033,2025-03-08,True,2
R016,A005,2024-11-23,True,3
R016,A019,2024-09-06,True,3
R016,A014,2025-03-28,True,3
R016,A032,2025-07-01,True,4
R016,A028,2025-03-23,False,
R016,A015,2024-11-30,True,3
R016,A008,2024-09-12,False,
R016,A001,2025-05-13,True,2
R016,A030,2025-04-12,False,
R016,A017,2024-12-06,False,
R016,A024,2025-07-11,True,4
R016,A031,2025-04-02,False,
R016,A029,2025-06-01,True,3
R016,A007,2024-09-03,True,3
R017,A018,2025-08-08,True,2
R017,A025,2024-11-21,False,
R017,A026,2025-06-28,True,4
R017,A027,2024-12-23,False,
R017,A015,2025-08-25,True,4
R017,A006,2025-01-03,True,3
R017,A002,2025-03-10,True,3
R017,A024,2025-08-05,True,1
R017,A020,2024-12-30,True,3
R017,A021,2025-07-29,True,4
R017,A008,2025-07-25,True,4
R017,A005,2024-09-14,True,3
R017,A001,2025-06-16,True,3
R017,A010,2025-03-29,False,
R018,A009,2025-07-02,False,
R018,A015,2025-01-30,True,4
R018,A033,2024-10-19,False,
R018,A017,2024-12-07,True,4
R018,A011,2025-01-17,True,3
R018,A020,2024-11-03,True,3
R018,A008,2025-03-28,False,
R019,A029,2024-10-23,True,3
R019,A017,2025-07-12,False,
R019,A021,2025-05-17,False,
R019,A003,2025-04-18,False,
R019,A004,2025-06-12,False,
R019,A001,2024-11-22,True,4
R019,A008,2025-08-30,True,3
R019,A002,2024-09-13,True,4
R019,A012,2025-04-04,True,4
R019,A018,2025-04-06,True,3
R019,A024,2024-09-06,False,
R019,A006,2025-07-26,False,
R019,A027,2025-04-18,False,
R019,A023,2024-10-15,False,
R019,A007,2025-05-22,True,3
R020,A013,2025-05-08,True,2
R020,A015,2025-04-17,True,4
R020,A018,2025-07-26,False,
R020,A014,2025-03-27,True,4
R020,A024,2024-11-13,True,2
R020,A002,2025-01-19,False,
R020,A009,2024-09-13,True,3
R020,A021,2025-02-06,True,2
R020,A031,2024-12-18,False,
R020,A016,2025-01-19,True,5
R020,A004,2025-08-11,True,4
R020,A017,2025-03-19,False,
R021,A029,2025-07-16,True,3
R021,A014,2024-09-20,True,2
R021,A005,2024-11-10,False,
R021,A016,2025-08-21,True,3
R021,A018,2024-09-21,False,
R021,A027,2024-11-09,False,
R021,A011,2025-06-03,True,3
R021,A007,2024-10-02,True,3
R021,A009,2025-04-11,True,3
R021,A010,2024-11-05,True,2
R021,A021,2024-12-23,True,4
R021,A033,2025-01-03,False,
R021,A019,2025-03-14,True,3
R021,A008,2025-07-09,True,4
R021,A003,2025-03-16,False,
R022,A029,2025-04-06,False,
R022,A026,2025-02-07,False,
R022,A011,2024-11-23,False,
R022,A010,2025-07-17,True,3
R022,A022,2025-03-19,True,3
R022,A032,2025-02-06,True,2
R022,A020,2025-08-31,False,
R022,A021,2024-11-27,True,4
R022,A023,2025-08-04,True,3
R022,A012,2025-02-27,True,4
R022,A015,2024-12-19,False,
R022,A017,2025-08-05,True,5
R023,A003,2025-06-25,True,2
R023,A013,2025-01-19,False,
R023,A004,2024-12-26,False,
R023,A033,2024-10-13,True,2
R023,A012,2025-05-01,False,
R023,A027,2025-03-25,False,
R023,A009,2024-11-22,True,5
R023,A022,2025-05-08,True,2
R023,A025,2025-07-04,False,
R024,A032,2024-10-04,False,
R024,A029,2024-12-19,False,
R024,A033,2025-04-04,False,
R024,A003,2025-04-14,True,3
R024,A027,2024-12-27,True,2
R024,A005,2025-04-29,False,
R024,A001,2025-06-18,True,4
R024,A028,2024-10-29,True,3
R024,A021,2025-06-23,True,4
R024,A010,2025-04-12,False,
R024,A008,2025-01-31,False,
R024,A023,2024-12-15,True,3
R024,A019,2025-08-30,True,5
R025,A013,2024-11-04,False,
R025,A017,2024-09-28,True,2
R025,A009,2025-06-16,True,4
R025,A027,2024-12-27,True,4
R025,A019,2024-11-22,True,3
R025,A006,2025-02-19,False,
R025,A030,2025-03-20,True,4
R025,A018,2024-09-08,False,
R025,A002,2025-02-16,True,5
R025,A032,2025-02-02,True,3
R026,A008,2025-01-01,True,4
R026,A012,2025-02-17,False,
R026,A011,2024-09-26,True,4
R026,A028,2024-10-02,False,
R026,A004,2024-12-21,False,
R026,A019,2025-06-28,False,
R027,A013,2025-03-15,False,
R027,A025,2025-01-18,False,
R027,A004,2025-01-10,True,4
R027,A027,2025-06-19,True,2
R027,A015,2024-09-30,True,1
R027,A008,2025-07-24,False,
R027,A024,2025-04-18,True,4
R027,A023,2024-09-11,True,5
R027,A021,2025-07-21,True,3
R027,A009,2024-09-20,False,
R027,A011,2025-02-18,False,
R027,A006,2024-10-15,False,
R027,A031,2024-12-25,False,
R027,A019,2025-08-13,False,
R028,A028,2024-10-12,True,3
R028,A030,2025-04-06,False,
R028,A019,2025-07-16,False,
R028,A023,2025-07-12,True,2
R028,A004,2024-09-05,False,
R028,A014,2025-01-16,False,
R028,A031,2025-03-31,True,4
R028,A015,2025-08-08,False,
R028,A003,2025-08-03,True,3
R028,A033,2025-02-21,True,3
R028,A026,2025-04-28,True,2
R028,A002,2024-11-15,True,2
R028,A029,2025-05-31,False,
R028,A027,2025-07-22,True,4
R028,A012,2025-02-17,False,
R029,A010,2024-12-20,True,4
R029,A025,2025-06-19,False,
R029,A011,2024-10-09,True,5
R029,A008,2025-04-23,True,4
R029,A007,2025-01-05,True,4
R029,A012,2024-09-19,False,
R029,A032,2025-07-25,True,4
R029,A017,2025-03-08,True,3
R029,A020,2025-03-31,False,
R029,A001,2025-01-26,False,
R029,A026,2025-01-10,True,3
R029,A006,2025-05-22,False,
R029,A031,2024-12-27,False,
R029,A005,2025-02-17,True,3
R029,A018,2024-11-10,True,3
R030,A001,2025-04-02,False,
R030,A014,2024-09-28,True,2
R030,A016,2025-08-27,True,2
R030,A026,2024-09-14,True,3
R030,A013,2025-08-06,False,
R030,A012,2024-12-20,False,
R030,A010,2025-04-07,False,
R030,A003,2025-05-06,False,
R030,A028,2025-03-04,False,
R030,A032,2025-05-26,True,4
R031,A002,2024-09-28,True,3
R031,A005,2025-06-22,False,
R031,A026,2024-10-14,False,
R031,A024,2025-03-26,True,3
R031,A008,2025-08-14,False,
R031,A009,2025-06-25,True,2
R031,A001,2025-04-02,True,4
R031,A029,2025-01-31,True,3
R031,A006,2025-06-25,True,2
R031,A012,2025-02-25,False,
R031,A023,2025-04-14,True,4
R031,A030,2025-04-22,False,
R031,A028,2024-12-28,False,
R031,A014,2025-04-02,False,
R031,A022,2025-03-11,False,
R032,A010,2025-07-24,True,2
R032,A023,2025-05-08,True,4
R032,A015,2024-09-20,False,
R032,A019,2024-11-19,False,
R032,A011,2025-02-10,True,3
R032,A031,2024-11-30,True,3
R032,A027,2025-02-24,True,5
R033,A002,2025-04-19,False,
R033,A008,2024-10-09,True,4
R033,A017,2025-07-07,False,
R033,A018,2025-01-02,True,4
R033,A006,2024-11-17,True,5
R033,A027,2024-10-23,True,4
R033,A033,2025-07-30,True,2
R033,A031,2025-01-06,True,3
R033,A005,2025-03-30,False,
R033,A019,2025-07-03,False,
R033,A020,2025-08-12,True,3
R033,A025,2024-12-22,True,3
R033,A011,2025-05-03,True,4
R033,A001,2025-06-23,False,
R033,A009,2025-02-23,True,2
R033,A028,2024-09-09,False,
R034,A005,2025-06-13,True,3
R034,A028,2024-09-30,False,
R034,A013,2024-12-24,True,2
R034,A019,2025-04-10,True,2
R034,A015,2025-02-23,True,4
R034,A029,2025-01-16,True,4
R034,A016,2025-02-27,False,
R034,A026,2024-09-14,True,3
R034,A022,2024-10-05,True,3
R034,A033,2025-02-09,True,3
R034,A011,2025-06-30,True,5
R034,A001,2025-01-11,False,
R034,A008,2025-05-15,True,3
R034,A021,2024-10-30,False,
R035,A010,2025-03-14,True,3
R035,A006,2025-06-28,True,3
R035,A028,2025-05-18,False,
R035,A027,2024-11-21,True,3
R035,A022,2025-05-13,True,3
R035,A018,2025-05-04,False,
R036,A010,2024-10-30,False,
R036,A018,2025-06-18,True,4
R036,A031,2024-11-28,False,
R036,A023,2025-06-03,True,4
R036,A028,2025-08-18,True,4
R036,A020,2025-03-01,True,3
R036,A030,2025-05-02,False,
R036,A012,2025-08-23,True,3
R036,A016,2025-08-05,True,4
R036,A033,2025-01-28,True,4
R036,A002,2025-07-30,True,4
R037,A031,2025-02-27,True,4
R037,A015,2025-07-07,True,4
R037,A004,2025-05-10,True,2
R037,A022,2025-08-09,False,
R037,A013,2024-09-28,False,
R037,A009,2025-01-09,True,4
R037,A007,2025-08-16,False,
R037,A028,2024-12-29,True,5
R037,A006,2025-01-25,False,
R037,A016,2024-12-23,True,4
R037,A020,2025-01-16,False,
R037,A029,2025-07-21,True,5
R037,A017,2025-06-17,True,2
R038,A015,2024-10-16,True,3
R038,A016,2024-11-24,False,
R038,A020,2025-02-17,False,
R038,A027,2024-12-03,False,
R038,A033,2024-12-16,True,4
R038,A023,2025-07-12,True,3
R038,A013,2025-07-04,False,
R039,A012,2024-11-22,True,3
R039,A013,2025-05-13,False,
R039,A010,2025-05-07,True,3
R039,A001,2025-01-11,True,4
R039,A033,2025-07-14,True,4
R039,A016,2025-03-24,True,5
R039,A015,2025-02-21,True,3
R039,A022,2024-09-14,False,
R039,A009,2025-07-28,False,
R039,A032,2025-07-19,True,3
R039,A027,2025-07-13,True,4
R039,A003,2025-02-22,False,
R039,A031,2024-11-20,False,
R039,A018,2024-11-17,True,4
R039,A020,2024-09-22,True,4
R039,A007,2025-03-03,True,4
R040,A003,2025-01-27,False,
R040,A032,2025-08-05,False,
R040,A027,2024-10-28,False,
R040,A029,2025-07-09,True,3
R040,A033,2025-05-15,True,3
R040,A007,2024-12-28,True,4
R040,A011,2025-07-07,True,4
R040,A022,2024-11-20,True,4
R040,A021,2025-04-11,True,5
R040,A025,2025-01-24,True,3
R040,A008,2024-10-17,False,
R040,A016,2024-10-06,False,
R040,A020,2024-10-24,True,2
R040,A019,2024-09-10,False,
R040,A004,2025-05-31,True,2
R040,A026,2025-03-26,True,2
R041,A026,2025-05-31,True,3
R041,A017,2024-11-15,False,
R041,A001,2025-07-27,True,4
R041,A005,2024-10-11,True,4
R041,A024,2025-07-16,False,
R041,A031,2025-05-13,False,
R041,A020,2025-01-11,True,3
R041,A011,2025-02-23,True,3
R041,A023,2025-03-18,True,4
R041,A019,2024-11-14,False,
R041,A008,2025-08-05,True,3
R042,A023,2024-10-19,True,4
R042,A020,2025-07-21,True,4
R042,A026,2024-09-27,True,2
R042,A004,2024-10-25,True,4
R042,A031,2025-04-14,True,3
R042,A002,2024-12-12,True,3
R042,A029,2025-01-23,True,4
R042,A007,2024-09-18,True,3
R043,A020,2024-12-05,True,3
R043,A012,2025-08-08,True,5
R043,A019,2024-10-29,True,2
R043,A027,2025-05-19,True,3
R043,A005,2025-05-15,True,3
R043,A026,2025-04-23,False,
R043,A032,2025-07-01,True,4
R043,A013,2025-01-23,True,3
R043,A030,2025-02-18,True,3
R043,A031,2025-05-06,True,5
R043,A022,2024-09-23,True,2
R043,A004,2025-07-26,False,
R043,A010,2025-08-10,True,1
R043,A018,2025-01-08,True,3
R043,A002,2025-03-24,False,
R043,A015,2024-11-11,True,3
R044,A024,2025-01-30,False,
R044,A007,2025-02-05,True,4
R044,A002,2025-03-18,True,3
R044,A023,2024-10-19,True,2
R044,A022,2024-09-12,True,2
R044,A009,2025-07-17,False,
R044,A031,2025-07-08,True,3
R044,A004,2024-11-03,True,3
R044,A016,2025-07-22,True,4
R044,A015,2025-03-26,True,3
R044,A021,2025-05-10,False,
R044,A014,2025-06-06,True,3
R045,A006,2025-07-04,True,3
R045,A030,2025-05-24,True,3
R045,A026,2025-03-06,False,
R045,A029,2024-10-05,True,4
R045,A025,2025-05-03,False,
R045,A002,2025-04-22,True,3
R045,A001,2024-10-27,True,5
